time,ram,name_of_query
8.845892,28816,DELETE_MySQL
27.107511,30280,UPDATE_MySQL
0.045464,30280,INSERT_MySQL
0.046080,30280,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_MySQL
0.050747,30280,BUSCA_HASH_CHAVE_PRIMARIA_MySQL
0.044037,30280,BUSCA_HASH_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.058608,30480,BUSCA_B_PLUS_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
26.145379,264988,BUSCA_SEM_INDEX_COM_LIKE_MySQL
25.816008,264988,BUSCA_HASH_COM_LIKE_MySQL
25.888437,264988,BUSCA_HASH_INDEX_NAO_IDEAL_COM_LIKE_MySQL
26.023509,264988,BUSCA_B_PLUS_COM_LIKE_MySQL
26.422724,266672,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_LIKE_MySQL
9.664750,266672,BUSCA_SEM_INDEX_COM_SUBCONSULTAS_MySQL
9.580129,266672,BUSCA_HASH_COM_SUBCONSULTAS_MySQL
8.645086,266672,BUSCA_HASH_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
9.352560,266672,BUSCA_B_PLUS_COM_SUBCONSULTAS_MySQL
8.679353,266672,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
60.563993,1660476,BUSCA_SEM_INDEX_JUNCOES_MySQL
60.668964,1661576,BUSCA_HASH_JUNCOES_MySQL
59.739561,1661636,BUSCA_HASH_INDEX_NAO_IDEAL_JUNCOES_MySQL
61.417443,1662012,BUSCA_B_PLUS_JUNCOES_MySQL
59.852277,1662012,BUSCA_B_PLUS_INDEX_NAO_IDEAL_JUNCOES_MySQL
10.457136,1662012,BUSCA_SEM_INDEX_NAO_CHAVE_PRIMARIAS_MySQL
10.104696,1662012,BUSCA_HASH_NAO_CHAVE_PRIMARIAS_MySQL
10.112774,1662012,BUSCA_HASH_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
5.836807,1662012,BUSCA_B_PLUS_NAO_CHAVE_PRIMARIAS_MySQL
9.801726,1662012,BUSCA_B_PLUS_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
457.431651,1662012,BUSCA_SEM_INDEX_AGRUPAMENTOS_MySQL
450.303730,1662012,BUSCA_HASH_AGRUPAMENTOS_MySQL
455.902035,1662012,BUSCA_HASH_INDEX_NAO_IDEAL_AGRUPAMENTOS_MySQL
455.418363,1662012,BUSCA_B_PLUS_AGRUPAMENTOS_MySQL
452.884553,1662012,BUSCA_B_PLUS_INDEX_NAO_IDEAL_AGRUPAMENTOS_MySQL
