time,ram,name_of_query
8.446828,1662012,DELETE_MySQL
8.734254,1662012,DELETE_MySQL
9.872065,1661888,DELETE_MySQL
9.846204,1662144,DELETE_MySQL
10.551202,1662144,DELETE_MySQL
8.556087,1663320,DELETE_MySQL
8.660882,1663320,DELETE_MySQL
8.943291,1663320,DELETE_MySQL
8.836065,1663320,DELETE_MySQL
8.273037,1663320,DELETE_MySQL
26.093309,1662012,UPDATE_MySQL
27.094464,1662012,UPDATE_MySQL
27.028301,1663320,UPDATE_MySQL
27.253279,1661888,UPDATE_MySQL
27.83128,1662144,UPDATE_MySQL
27.259681,1663320,UPDATE_MySQL
26.154336,1663320,UPDATE_MySQL
27.028301,1663320,UPDATE_MySQL
25.40245,1663320,UPDATE_MySQL
26.339238,1663320,UPDATE_MySQL
0.043829,1662012,INSERT_MySQL
0.043634,1662012,INSERT_MySQL
0.044413,1661888,INSERT_MySQL
0.042807,1663320,INSERT_MySQL
0.050158,1662144,INSERT_MySQL
0.046324,1663320,INSERT_MySQL
0.045871,1663320,INSERT_MySQL
0.044903,1663320,INSERT_MySQL
0.042807,1663320,INSERT_MySQL
0.047244,1663320,INSERT_MySQL
0.050998,1662012,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_MySQL
0.034925,1662012,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_MySQL
0.03267,1661888,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_MySQL
0.031949,1663320,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_MySQL
0.037754,1662144,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_MySQL
0.045758,1663320,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_MySQL
0.032681,1663320,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_MySQL
0.033423,1663320,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_MySQL
0.031949,1663320,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_MySQL
0.034276,1663320,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_MySQL
0.048025,1662012,BUSCA_HASH_CHAVE_PRIMARIA_MySQL
0.036447,1662012,BUSCA_HASH_CHAVE_PRIMARIA_MySQL
0.039394,1661888,BUSCA_HASH_CHAVE_PRIMARIA_MySQL
0.045044,1662144,BUSCA_HASH_CHAVE_PRIMARIA_MySQL
0.062659,1663320,BUSCA_HASH_CHAVE_PRIMARIA_MySQL
0.033432,1663320,BUSCA_HASH_CHAVE_PRIMARIA_MySQL
0.032204,1663320,BUSCA_HASH_CHAVE_PRIMARIA_MySQL
0.032915,1663320,BUSCA_HASH_CHAVE_PRIMARIA_MySQL
0.033432,1663320,BUSCA_HASH_CHAVE_PRIMARIA_MySQL
0.033437,1663320,BUSCA_HASH_CHAVE_PRIMARIA_MySQL
0.054684,1662012,BUSCA_HASH_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.032449,1662012,BUSCA_HASH_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.035415,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.034438,1661888,BUSCA_HASH_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.037177,1662144,BUSCA_HASH_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.049504,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.033556,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.035415,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.036917,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.03425,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.046934,1662012,BUSCA_B_PLUS_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.032368,1662012,BUSCA_B_PLUS_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.040757,1661888,BUSCA_B_PLUS_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.032928,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.048172,1662144,BUSCA_B_PLUS_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.062799,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.034278,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.032928,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.035364,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.036711,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
26.003173,1662012,BUSCA_SEM_INDEX_COM_LIKE_MySQL
26.111714,1662012,BUSCA_SEM_INDEX_COM_LIKE_MySQL
25.856619,1663320,BUSCA_SEM_INDEX_COM_LIKE_MySQL
29.875039,1661888,BUSCA_SEM_INDEX_COM_LIKE_MySQL
30.415309,1662144,BUSCA_SEM_INDEX_COM_LIKE_MySQL
25.856619,1663320,BUSCA_SEM_INDEX_COM_LIKE_MySQL
26.195806,1663320,BUSCA_SEM_INDEX_COM_LIKE_MySQL
26.069624,1663320,BUSCA_SEM_INDEX_COM_LIKE_MySQL
26.050272,1663320,BUSCA_SEM_INDEX_COM_LIKE_MySQL
26.052685,1663320,BUSCA_SEM_INDEX_COM_LIKE_MySQL
26.188404,1662012,BUSCA_HASH_COM_LIKE_MySQL
26.322384,1662012,BUSCA_HASH_COM_LIKE_MySQL
26.065586,1663320,BUSCA_HASH_COM_LIKE_MySQL
30.30795,1661888,BUSCA_HASH_COM_LIKE_MySQL
30.09755,1662144,BUSCA_HASH_COM_LIKE_MySQL
25.870986,1663320,BUSCA_HASH_COM_LIKE_MySQL
26.155461,1663320,BUSCA_HASH_COM_LIKE_MySQL
26.109593,1663320,BUSCA_HASH_COM_LIKE_MySQL
26.065586,1663320,BUSCA_HASH_COM_LIKE_MySQL
26.019763,1663320,BUSCA_HASH_COM_LIKE_MySQL
26.257067,1662012,BUSCA_HASH_INDEX_NAO_IDEAL_COM_LIKE_MySQL
26.06965,1662012,BUSCA_HASH_INDEX_NAO_IDEAL_COM_LIKE_MySQL
30.002344,1661888,BUSCA_HASH_INDEX_NAO_IDEAL_COM_LIKE_MySQL
30.387863,1662144,BUSCA_HASH_INDEX_NAO_IDEAL_COM_LIKE_MySQL
25.883585,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_COM_LIKE_MySQL
26.276491,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_COM_LIKE_MySQL
26.11852,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_COM_LIKE_MySQL
26.076730,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_COM_LIKE_MySQL
26.07673,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_COM_LIKE_MySQL
25.94928,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_COM_LIKE_MySQL
26.097496,1662012,BUSCA_B_PLUS_COM_LIKE_MySQL
26.213571,1662012,BUSCA_B_PLUS_COM_LIKE_MySQL
29.663141,1661888,BUSCA_B_PLUS_COM_LIKE_MySQL
30.001507,1662144,BUSCA_B_PLUS_COM_LIKE_MySQL
25.917605,1663320,BUSCA_B_PLUS_COM_LIKE_MySQL
26.200125,1663320,BUSCA_B_PLUS_COM_LIKE_MySQL
26.330697,1663320,BUSCA_B_PLUS_COM_LIKE_MySQL
26.200125,1663320,BUSCA_B_PLUS_COM_LIKE_MySQL
26.303349,1663320,BUSCA_B_PLUS_COM_LIKE_MySQL
26.282263,1663320,BUSCA_B_PLUS_COM_LIKE_MySQL
26.006087,1662012,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_LIKE_MySQL
26.039704,1662012,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_LIKE_MySQL
29.483667,1661888,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_LIKE_MySQL
29.734581,1662144,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_LIKE_MySQL
26.115117,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_LIKE_MySQL
25.879551,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_LIKE_MySQL
26.141967,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_LIKE_MySQL
26.350068,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_LIKE_MySQL
26.129612,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_LIKE_MySQL
26.115117,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_LIKE_MySQL
9.507239,1662012,BUSCA_SEM_INDEX_COM_SUBCONSULTAS_MySQL
9.493605,1662012,BUSCA_SEM_INDEX_COM_SUBCONSULTAS_MySQL
9.653432,1663320,BUSCA_SEM_INDEX_COM_SUBCONSULTAS_MySQL
8.485038,1661888,BUSCA_SEM_INDEX_COM_SUBCONSULTAS_MySQL
8.90582,1662144,BUSCA_SEM_INDEX_COM_SUBCONSULTAS_MySQL
9.58241,1663320,BUSCA_SEM_INDEX_COM_SUBCONSULTAS_MySQL
9.600233,1663320,BUSCA_SEM_INDEX_COM_SUBCONSULTAS_MySQL
9.653432,1663320,BUSCA_SEM_INDEX_COM_SUBCONSULTAS_MySQL
9.616691,1663320,BUSCA_SEM_INDEX_COM_SUBCONSULTAS_MySQL
9.603768,1663320,BUSCA_SEM_INDEX_COM_SUBCONSULTAS_MySQL
9.631144,1662012,BUSCA_HASH_COM_SUBCONSULTAS_MySQL
9.608805,1662012,BUSCA_HASH_COM_SUBCONSULTAS_MySQL
9.467405,1663320,BUSCA_HASH_COM_SUBCONSULTAS_MySQL
9.223092,1661888,BUSCA_HASH_COM_SUBCONSULTAS_MySQL
9.407977,1662144,BUSCA_HASH_COM_SUBCONSULTAS_MySQL
9.577571,1663320,BUSCA_HASH_COM_SUBCONSULTAS_MySQL
9.52393,1663320,BUSCA_HASH_COM_SUBCONSULTAS_MySQL
9.467405,1663320,BUSCA_HASH_COM_SUBCONSULTAS_MySQL
9.430456,1663320,BUSCA_HASH_COM_SUBCONSULTAS_MySQL
9.334614,1663320,BUSCA_HASH_COM_SUBCONSULTAS_MySQL
8.59097,1662012,BUSCA_HASH_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
8.332405,1662012,BUSCA_HASH_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
4.583191,1661888,BUSCA_HASH_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
8.698399,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
8.493116,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
8.845226,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
8.698399,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
8.537198,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
8.493116,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
8.443483,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
9.427202,1662012,BUSCA_B_PLUS_COM_SUBCONSULTAS_MySQL
9.293175,1662012,BUSCA_B_PLUS_COM_SUBCONSULTAS_MySQL
9.574749,1663320,BUSCA_B_PLUS_COM_SUBCONSULTAS_MySQL
5.7918,1661888,BUSCA_B_PLUS_COM_SUBCONSULTAS_MySQL
5.882014,1662144,BUSCA_B_PLUS_COM_SUBCONSULTAS_MySQL
9.574749,1663320,BUSCA_B_PLUS_COM_SUBCONSULTAS_MySQL
9.302141,1663320,BUSCA_B_PLUS_COM_SUBCONSULTAS_MySQL
9.27897,1663320,BUSCA_B_PLUS_COM_SUBCONSULTAS_MySQL
9.288218,1663320,BUSCA_B_PLUS_COM_SUBCONSULTAS_MySQL
9.263979,1663320,BUSCA_B_PLUS_COM_SUBCONSULTAS_MySQL
8.726387,1662012,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
8.813439,1662012,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
8.469538,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
4.637787,1661888,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
4.602936,1662144,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
8.665358,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
8.528733,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
8.469538,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
8.557817,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
8.43103,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL
58.90139,1662012,BUSCA_SEM_INDEX_JUNCOES_MySQL
59.300612,1663320,BUSCA_SEM_INDEX_JUNCOES_MySQL
19.096699,1660780,BUSCA_SEM_INDEX_JUNCOES_MySQL
19.309966,1662144,BUSCA_SEM_INDEX_JUNCOES_MySQL
20.282238,1662144,BUSCA_SEM_INDEX_JUNCOES_MySQL
59.324044,1663320,BUSCA_SEM_INDEX_JUNCOES_MySQL
59.70933,1663320,BUSCA_SEM_INDEX_JUNCOES_MySQL
59.21988,1663320,BUSCA_SEM_INDEX_JUNCOES_MySQL
59.443591,1663320,BUSCA_SEM_INDEX_JUNCOES_MySQL
60.275276,1663320,BUSCA_SEM_INDEX_JUNCOES_MySQL
59.934931,1663320,BUSCA_HASH_JUNCOES_MySQL
59.587923,1663320,BUSCA_HASH_JUNCOES_MySQL
18.799864,1661624,BUSCA_HASH_JUNCOES_MySQL
18.16042,1662144,BUSCA_HASH_JUNCOES_MySQL
18.778806,1662144,BUSCA_HASH_JUNCOES_MySQL
59.679762,1663320,BUSCA_HASH_JUNCOES_MySQL
60.676325,1663320,BUSCA_HASH_JUNCOES_MySQL
60.321154,1663320,BUSCA_HASH_JUNCOES_MySQL
60.716024,1663320,BUSCA_HASH_JUNCOES_MySQL
60.830245,1663320,BUSCA_HASH_JUNCOES_MySQL
60.63436,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_JUNCOES_MySQL
61.237876,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_JUNCOES_MySQL
17.980313,1661888,BUSCA_HASH_INDEX_NAO_IDEAL_JUNCOES_MySQL
17.84827,1662144,BUSCA_HASH_INDEX_NAO_IDEAL_JUNCOES_MySQL
17.964893,1662144,BUSCA_HASH_INDEX_NAO_IDEAL_JUNCOES_MySQL
60.175023,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_JUNCOES_MySQL
60.788764,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_JUNCOES_MySQL
60.321519,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_JUNCOES_MySQL
60.802842,1663328,BUSCA_HASH_INDEX_NAO_IDEAL_JUNCOES_MySQL
60.508249,1663328,BUSCA_HASH_INDEX_NAO_IDEAL_JUNCOES_MySQL
61.789113,1663320,BUSCA_B_PLUS_JUNCOES_MySQL
62.283505,1663320,BUSCA_B_PLUS_JUNCOES_MySQL
62.107751,1663328,BUSCA_B_PLUS_JUNCOES_MySQL
62.593908,1663328,BUSCA_B_PLUS_JUNCOES_MySQL
61.692378,1663328,BUSCA_B_PLUS_JUNCOES_MySQL
62.107751,1663328,BUSCA_B_PLUS_JUNCOES_MySQL
62.593908,1663328,BUSCA_B_PLUS_JUNCOES_MySQL
61.692378,1663328,BUSCA_B_PLUS_JUNCOES_MySQL
61.375858,1663328,BUSCA_B_PLUS_JUNCOES_MySQL
61.039223,1663328,BUSCA_B_PLUS_JUNCOES_MySQL
59.910391,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_JUNCOES_MySQL
60.821565,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_JUNCOES_MySQL
59.943150,1663328,BUSCA_B_PLUS_INDEX_NAO_IDEAL_JUNCOES_MySQL
61.318309,1663328,BUSCA_B_PLUS_INDEX_NAO_IDEAL_JUNCOES_MySQL
60.899960,1663328,BUSCA_B_PLUS_INDEX_NAO_IDEAL_JUNCOES_MySQL
59.94315,1663328,BUSCA_B_PLUS_INDEX_NAO_IDEAL_JUNCOES_MySQL
61.318309,1663328,BUSCA_B_PLUS_INDEX_NAO_IDEAL_JUNCOES_MySQL
60.89996,1663328,BUSCA_B_PLUS_INDEX_NAO_IDEAL_JUNCOES_MySQL
60.667297,1663328,BUSCA_B_PLUS_INDEX_NAO_IDEAL_JUNCOES_MySQL
61.367149,1663328,BUSCA_B_PLUS_INDEX_NAO_IDEAL_JUNCOES_MySQL
10.462345,1663320,BUSCA_SEM_INDEX_NAO_CHAVE_PRIMARIAS_MySQL
10.468491,1663320,BUSCA_SEM_INDEX_NAO_CHAVE_PRIMARIAS_MySQL
9.133165,1661888,BUSCA_SEM_INDEX_NAO_CHAVE_PRIMARIAS_MySQL
9.340361,1662144,BUSCA_SEM_INDEX_NAO_CHAVE_PRIMARIAS_MySQL
9.238662,1662144,BUSCA_SEM_INDEX_NAO_CHAVE_PRIMARIAS_MySQL
11.222841,1663328,BUSCA_SEM_INDEX_NAO_CHAVE_PRIMARIAS_MySQL
10.958503,1663328,BUSCA_SEM_INDEX_NAO_CHAVE_PRIMARIAS_MySQL
10.610077,1663328,BUSCA_SEM_INDEX_NAO_CHAVE_PRIMARIAS_MySQL
10.516184,1663328,BUSCA_SEM_INDEX_NAO_CHAVE_PRIMARIAS_MySQL
10.728797,1663328,BUSCA_SEM_INDEX_NAO_CHAVE_PRIMARIAS_MySQL
10.313907,1663320,BUSCA_HASH_NAO_CHAVE_PRIMARIAS_MySQL
10.498715,1663320,BUSCA_HASH_NAO_CHAVE_PRIMARIAS_MySQL
9.354172,1661888,BUSCA_HASH_NAO_CHAVE_PRIMARIAS_MySQL
9.532768,1662144,BUSCA_HASH_NAO_CHAVE_PRIMARIAS_MySQL
9.596702,1662144,BUSCA_HASH_NAO_CHAVE_PRIMARIAS_MySQL
10.409406,1663328,BUSCA_HASH_NAO_CHAVE_PRIMARIAS_MySQL
10.392212,1663328,BUSCA_HASH_NAO_CHAVE_PRIMARIAS_MySQL
10.4528,1663328,BUSCA_HASH_NAO_CHAVE_PRIMARIAS_MySQL
10.506062,1663328,BUSCA_HASH_NAO_CHAVE_PRIMARIAS_MySQL
10.677522,1663328,BUSCA_HASH_NAO_CHAVE_PRIMARIAS_MySQL
9.79164,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
9.853801,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
9.032191,1661888,BUSCA_HASH_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
9.25663,1662144,BUSCA_HASH_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
9.168814,1662144,BUSCA_HASH_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
10.214613,1663328,BUSCA_HASH_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
10.608753,1663328,BUSCA_HASH_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
10.429965,1663328,BUSCA_HASH_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
10.319966,1663328,BUSCA_HASH_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
10.226878,1663328,BUSCA_HASH_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
5.944807,1663320,BUSCA_B_PLUS_NAO_CHAVE_PRIMARIAS_MySQL
6.189518,1663320,BUSCA_B_PLUS_NAO_CHAVE_PRIMARIAS_MySQL
5.006026,1661888,BUSCA_B_PLUS_NAO_CHAVE_PRIMARIAS_MySQL
5.075003,1662144,BUSCA_B_PLUS_NAO_CHAVE_PRIMARIAS_MySQL
5.125481,1662144,BUSCA_B_PLUS_NAO_CHAVE_PRIMARIAS_MySQL
5.533631,1663328,BUSCA_B_PLUS_NAO_CHAVE_PRIMARIAS_MySQL
5.840075,1663328,BUSCA_B_PLUS_NAO_CHAVE_PRIMARIAS_MySQL
6.095577,1663328,BUSCA_B_PLUS_NAO_CHAVE_PRIMARIAS_MySQL
6.145566,1663328,BUSCA_B_PLUS_NAO_CHAVE_PRIMARIAS_MySQL
6.064299,1663328,BUSCA_B_PLUS_NAO_CHAVE_PRIMARIAS_MySQL
10.162858,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
9.892679,1663320,BUSCA_B_PLUS_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
9.609563,1661888,BUSCA_B_PLUS_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
9.110724,1662144,BUSCA_B_PLUS_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
9.219205,1662144,BUSCA_B_PLUS_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
10.047632,1663328,BUSCA_B_PLUS_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
10.65242,1663328,BUSCA_B_PLUS_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
10.724678,1663328,BUSCA_B_PLUS_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
10.020185,1663328,BUSCA_B_PLUS_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
9.883133,1663328,BUSCA_B_PLUS_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL
458.995867,1663320,BUSCA_SEM_INDEX_AGRUPAMENTOS_MySQL
455.025256,1663320,BUSCA_SEM_INDEX_AGRUPAMENTOS_MySQL
456.140771,1663328,BUSCA_SEM_INDEX_AGRUPAMENTOS_MySQL
455.988353,1663328,BUSCA_SEM_INDEX_AGRUPAMENTOS_MySQL
455.394963,1663328,BUSCA_SEM_INDEX_AGRUPAMENTOS_MySQL
454.462964,1663328,BUSCA_SEM_INDEX_AGRUPAMENTOS_MySQL
452.626038,1663328,BUSCA_SEM_INDEX_AGRUPAMENTOS_MySQL
456.140771,1663328,BUSCA_SEM_INDEX_AGRUPAMENTOS_MySQL
455.988353,1663328,BUSCA_SEM_INDEX_AGRUPAMENTOS_MySQL
455.394963,1663328,BUSCA_SEM_INDEX_AGRUPAMENTOS_MySQL
454.338138,1663320,BUSCA_HASH_AGRUPAMENTOS_MySQL
456.989061,1663320,BUSCA_HASH_AGRUPAMENTOS_MySQL
452.174382,1663328,BUSCA_HASH_AGRUPAMENTOS_MySQL
450.910340,1663328,BUSCA_HASH_AGRUPAMENTOS_MySQL
455.844378,1663328,BUSCA_HASH_AGRUPAMENTOS_MySQL
451.249178,1663328,BUSCA_HASH_AGRUPAMENTOS_MySQL
449.450612,1663328,BUSCA_HASH_AGRUPAMENTOS_MySQL
452.174382,1663328,BUSCA_HASH_AGRUPAMENTOS_MySQL
450.91034,1663328,BUSCA_HASH_AGRUPAMENTOS_MySQL
455.844378,1663328,BUSCA_HASH_AGRUPAMENTOS_MySQL
451.631171,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_AGRUPAMENTOS_MySQL
452.817395,1663320,BUSCA_HASH_INDEX_NAO_IDEAL_AGRUPAMENTOS_MySQL
452.722996,1663328,BUSCA_HASH_INDEX_NAO_IDEAL_AGRUPAMENTOS_MySQL
455.680072,1663328,BUSCA_HASH_INDEX_NAO_IDEAL_AGRUPAMENTOS_MySQL
459.325885,1663328,BUSCA_HASH_INDEX_NAO_IDEAL_AGRUPAMENTOS_MySQL
452.208548,1663328,BUSCA_HASH_INDEX_NAO_IDEAL_AGRUPAMENTOS_MySQL
452.722996,1663328,BUSCA_HASH_INDEX_NAO_IDEAL_AGRUPAMENTOS_MySQL
455.680072,1663328,BUSCA_HASH_INDEX_NAO_IDEAL_AGRUPAMENTOS_MySQL
459.325885,1663328,BUSCA_HASH_INDEX_NAO_IDEAL_AGRUPAMENTOS_MySQL
461.063994,1663328,BUSCA_HASH_INDEX_NAO_IDEAL_AGRUPAMENTOS_MySQL
451.555429,1663320,BUSCA_B_PLUS_AGRUPAMENTOS_MySQL
456.05152,1663320,BUSCA_B_PLUS_AGRUPAMENTOS_MySQL
461.790004,1663328,BUSCA_B_PLUS_AGRUPAMENTOS_MySQL
