time,ram,name_of_query
0.025148,1825540,DELETE_PostgreSQL
0.023425,1825540,DELETE_PostgreSQL
0.023958,1825540,DELETE_PostgreSQL
0.022381,1825540,DELETE_PostgreSQL
0.025250,1825540,DELETE_PostgreSQL
0.022689,1825540,DELETE_PostgreSQL
0.024055,1825540,DELETE_PostgreSQL
0.022620,1825540,DELETE_PostgreSQL
0.024235,1825540,DELETE_PostgreSQL
0.023955,1825540,DELETE_PostgreSQL
0.024742,1825540,DELETE_PostgreSQL
0.023407,1825540,DELETE_PostgreSQL
0.024395,1825540,DELETE_PostgreSQL
0.023814,1825540,DELETE_PostgreSQL
0.024219,1825540,DELETE_PostgreSQL
0.023860,1825540,DELETE_PostgreSQL
0.025021,1825540,DELETE_PostgreSQL
0.023216,1825540,DELETE_PostgreSQL
0.025175,1825540,DELETE_PostgreSQL
0.023245,1825540,DELETE_PostgreSQL
0.025436,1825540,UPDATE_PostgreSQL
0.024756,1825540,UPDATE_PostgreSQL
0.026088,1825540,UPDATE_PostgreSQL
0.024304,1825540,UPDATE_PostgreSQL
0.024293,1825540,UPDATE_PostgreSQL
0.026535,1825540,UPDATE_PostgreSQL
0.025131,1825540,UPDATE_PostgreSQL
0.025648,1825540,UPDATE_PostgreSQL
0.024024,1825540,UPDATE_PostgreSQL
0.024606,1825540,UPDATE_PostgreSQL
0.024430,1825540,UPDATE_PostgreSQL
0.026353,1825540,UPDATE_PostgreSQL
0.025068,1825540,UPDATE_PostgreSQL
0.025442,1825540,UPDATE_PostgreSQL
0.024465,1825540,UPDATE_PostgreSQL
0.024233,1825540,UPDATE_PostgreSQL
0.024842,1825540,UPDATE_PostgreSQL
0.023362,1825540,UPDATE_PostgreSQL
0.023398,1825540,UPDATE_PostgreSQL
0.024015,1825540,UPDATE_PostgreSQL
0.023503,1825540,INSERT_PostgreSQL
0.023196,1825540,INSERT_PostgreSQL
0.023074,1825540,INSERT_PostgreSQL
0.023063,1825540,INSERT_PostgreSQL
0.023898,1825540,INSERT_PostgreSQL
0.023505,1825540,INSERT_PostgreSQL
0.023649,1825540,INSERT_PostgreSQL
0.023041,1825540,INSERT_PostgreSQL
0.022519,1825540,INSERT_PostgreSQL
0.023843,1825540,INSERT_PostgreSQL
0.023543,1825540,INSERT_PostgreSQL
0.023097,1825540,INSERT_PostgreSQL
0.023150,1825540,INSERT_PostgreSQL
0.022869,1825540,INSERT_PostgreSQL
0.023074,1825540,INSERT_PostgreSQL
0.023542,1825540,INSERT_PostgreSQL
0.022724,1825540,INSERT_PostgreSQL
0.022544,1825540,INSERT_PostgreSQL
0.022162,1825540,INSERT_PostgreSQL
0.022155,1825540,INSERT_PostgreSQL
0.076849,1825540,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_PostgreSQL
0.049093,1825540,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_PostgreSQL
0.048303,1825540,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_PostgreSQL
0.048227,1825540,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_PostgreSQL
0.048292,1825540,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_PostgreSQL
0.047259,1825540,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_PostgreSQL
0.047774,1825540,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_PostgreSQL
0.047216,1825540,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_PostgreSQL
0.048914,1825540,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_PostgreSQL
0.048714,1825540,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_PostgreSQL
0.047186,1825540,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_PostgreSQL
0.046624,1825540,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_PostgreSQL
0.048530,1825540,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_PostgreSQL
0.047488,1825540,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_PostgreSQL
0.047675,1825540,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_PostgreSQL
0.047329,1825540,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_PostgreSQL
0.047494,1825540,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_PostgreSQL
0.047326,1825540,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_PostgreSQL
0.048928,1825540,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_PostgreSQL
0.047690,1825540,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_PostgreSQL
0.049084,1825540,BUSCA_HASH_CHAVE_PRIMARIA_PostgreSQL
0.047341,1825540,BUSCA_HASH_CHAVE_PRIMARIA_PostgreSQL
0.047931,1825540,BUSCA_HASH_CHAVE_PRIMARIA_PostgreSQL
0.047974,1825540,BUSCA_HASH_CHAVE_PRIMARIA_PostgreSQL
0.048857,1825540,BUSCA_HASH_CHAVE_PRIMARIA_PostgreSQL
0.047081,1825540,BUSCA_HASH_CHAVE_PRIMARIA_PostgreSQL
0.046877,1825540,BUSCA_HASH_CHAVE_PRIMARIA_PostgreSQL
0.047430,1825540,BUSCA_HASH_CHAVE_PRIMARIA_PostgreSQL
0.047442,1825540,BUSCA_HASH_CHAVE_PRIMARIA_PostgreSQL
